idUsuario,alias,idzona,EsGBA,nombre,idprecio,idprogramacion,PrecioMotoboyHoraSemanaDiaZona,PrecioMotoboyHoraFindeDiaZona,PrecioMotoboyHora3SemanaNocheZona,PrecioMotoboyHora4SemanaNocheZona,PrecioMotoboyHora5SemanaNocheZona,PrecioMotoboyHora6SemanaNocheZona,PrecioMotoboyHora3FindeNocheZona,PrecioMotoboyHora4FindeNocheZona,PrecioMotoboyHora5FindeNocheZona,PrecioMotoboyHora6FindeNocheZona,QHora3SemanaDia,QHora4SemanaDia,QHora3FindeDia,QHora4FindeDia,QHora3SemanaNoche,QHora4SemanaNoche,QHora5SemanaNoche,QHora6SemanaNoche,QHora3FindeNoche,QHora4FindeNoche,QHora5FindeNoche,QHora6FindeNoche
55260,Fabric Sushi Villa Urquiza ,22,0,Belgrano- VillaUrquiza- Saavedra- Nuñez,77,,2955.0,2955.0,4160.0,3855.0,3490.0,3370.0,5155.0,4800.0,4305.0,4175.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,68.0,0.0,0.0
55262,Fabric Sushi Villa Devoto,21,0,Villa del Parque/Villa Devoto,76,,3005.0,3005.0,3890.0,3610.0,3260.0,3080.0,4800.0,4520.0,4080.0,3890.0,0.0,0.0,0.0,0.0,3.5,428.0,0.0,0.0,0.0,275.5,0.0,0.0
55263,Fabric Sushi Flores,161,0,Caballito/Flores/ Floresta,226,,3050.0,3050.0,3795.0,3570.0,3190.0,3005.0,4715.0,4445.0,4040.0,3860.0,72.0,0.0,33.0,0.0,3.0,36.0,0.0,0.0,3.0,64.0,0.0,0.0
55367,Fabric Sushi Caballito,161,0,Caballito/Flores/ Floresta,226,,3050.0,3050.0,3795.0,3570.0,3190.0,3005.0,4715.0,4445.0,4040.0,3860.0,0.0,0.0,0.0,0.0,3.0,32.0,0.0,0.0,0.0,68.0,0.0,0.0
55368,Fabric Sushi Villa Luro,161,0,Caballito/Flores/ Floresta,226,,3050.0,3050.0,3795.0,3570.0,3190.0,3005.0,4715.0,4445.0,4040.0,3860.0,0.0,0.0,0.0,0.0,3.0,176.0,0.0,0.0,0.0,68.0,0.0,0.0
