idUsuario,alias,idzona,EsGBA,nombre,idprecio,idprogramacion,PrecioMotoboyHoraSemanaDiaZona,PrecioMotoboyHoraFindeDiaZona,PrecioMotoboyHora3SemanaNocheZona,PrecioMotoboyHora4SemanaNocheZona,PrecioMotoboyHora5SemanaNocheZona,PrecioMotoboyHora6SemanaNocheZona,PrecioMotoboyHora3FindeNocheZona,PrecioMotoboyHora4FindeNocheZona,PrecioMotoboyHora5FindeNocheZona,PrecioMotoboyHora6FindeNocheZona,QHora3SemanaDia,QHora4SemanaDia,QHora3FindeDia,QHora4FindeDia,QHora3SemanaNoche,QHora4SemanaNoche,QHora5SemanaNoche,QHora6SemanaNoche,QHora3FindeNoche,QHora4FindeNoche,QHora5FindeNoche,QHora6FindeNoche
5312,Sushi Club Cañitas,20,0,Colegiales - Palermo- Villa Crespo- Chacarita,75,,3055.0,3055.0,3960.0,3690.0,3335.0,3190.0,4925.0,4585.0,4105.0,3985.0,3.0,144.0,54.0,68.0,222.0,126.0,0.0,0.0,81.0,129.5,0.0,0.0
5660,Sushi Club Barrio Norte,20,0,Colegiales - Palermo- Villa Crespo- Chacarita,75,,3055.0,3055.0,3960.0,3690.0,3335.0,3190.0,4925.0,4585.0,4105.0,3985.0,0.0,0.0,0.0,4.0,212.5,166.5,0.0,0.0,179.0,92.0,0.0,0.0
7731,Sushi Club Caballito,161,0,Caballito/Flores/ Floresta,226,,3050.0,3050.0,3795.0,3570.0,3190.0,3005.0,4715.0,4445.0,4040.0,3860.0,81.0,189.0,24.0,104.0,6.5,316.0,0.0,0.0,6.0,104.0,0.0,0.0
7786,Sushi Club Recoleta,23,0,Recoleta- Barrio Norte- Centro ,78,,3225.0,3225.0,3945.0,3670.0,3325.0,3050.0,5010.0,4715.0,4305.0,4050.0,0.0,36.0,0.0,39.0,0.0,144.0,81.0,0.0,0.0,140.0,0.0,0.0
7819,Sushi Club Puerto Madero,23,0,Recoleta- Barrio Norte- Centro ,78,,3225.0,3225.0,3945.0,3670.0,3325.0,3050.0,5010.0,4715.0,4305.0,4050.0,3.0,104.0,0.0,4.0,0.0,288.0,45.0,0.0,3.0,80.0,40.0,0.0
7900,Sushi Club Nordelta,207,1,Tigre/ Nordelta,1067,,2990.0,2990.0,4465.0,4125.0,3880.0,3690.0,5655.0,5265.0,4845.0,4530.0,0.0,0.0,0.0,0.0,132.5,388.0,0.0,0.0,62.5,326.5,0.0,0.0
31425,Sushi Club Arcos,22,0,Belgrano- VillaUrquiza- Saavedra- Nuñez,77,,2955.0,2955.0,4160.0,3855.0,3490.0,3370.0,5155.0,4800.0,4305.0,4175.0,0.0,0.0,6.0,0.0,216.0,144.0,0.0,0.0,183.0,75.5,0.0,0.0
32920,Sushi Club Pilar,208,1,Pilar,1072,,3230.0,3230.0,4320.0,4005.0,3770.0,3530.0,5395.0,5050.0,4555.0,4395.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,104.0,0.0,0.0
