idUsuario,alias,idzona,EsGBA,nombre,idprecio,idprogramacion,PrecioMotoboyHoraSemanaDiaZona,PrecioMotoboyHoraFindeDiaZona,PrecioMotoboyHora3SemanaNocheZona,PrecioMotoboyHora4SemanaNocheZona,PrecioMotoboyHora5SemanaNocheZona,PrecioMotoboyHora6SemanaNocheZona,PrecioMotoboyHora3FindeNocheZona,PrecioMotoboyHora4FindeNocheZona,PrecioMotoboyHora5FindeNocheZona,PrecioMotoboyHora6FindeNocheZona,QHora3SemanaDia,QHora4SemanaDia,QHora3FindeDia,QHora4FindeDia,QHora3SemanaNoche,QHora4SemanaNoche,QHora5SemanaNoche,QHora6SemanaNoche,QHora3FindeNoche,QHora4FindeNoche,QHora5FindeNoche,QHora6FindeNoche
14264,Fabric Sushi Nuñez,22,0,Belgrano- VillaUrquiza- Saavedra- Nuñez,77,6271,3565.0,3565.0,5020.0,4650.0,4210.0,4065.0,6220.0,5790.0,5195.0,5040.0,0.0,0.0,0.0,8.0,3.0,0.0,162.0,0.0,0.0,88.0,36.0,0.0
20307,Fabric Sushi Arenales,23,0,Recoleta- Barrio Norte- Centro ,78,6272,3890.0,3890.0,4760.0,4430.0,4010.0,3680.0,6045.0,5690.0,5195.0,4885.0,31.5,0.0,7.0,0.0,3.0,356.0,0.0,0.0,3.0,260.0,0.0,0.0
21626,Fabric Sushi Barrio Chino,22,0,Belgrano- VillaUrquiza- Saavedra- Nuñez,77,6271,3565.0,3565.0,5020.0,4650.0,4210.0,4065.0,6220.0,5790.0,5195.0,5040.0,3.0,4.0,0.0,0.0,0.0,53.5,4.5,0.0,9.0,48.5,0.0,0.0
26274,Fabric Sushi Coghlan,22,0,Belgrano- VillaUrquiza- Saavedra- Nuñez,77,6271,3565.0,3565.0,5020.0,4650.0,4210.0,4065.0,6220.0,5790.0,5195.0,5040.0,84.0,0.0,7.0,4.0,108.0,4.0,162.0,0.0,132.0,4.0,117.0,0.0
28888,Fabric Sushi Villa Crespo ,20,0,Colegiales - Palermo- Villa Crespo- Chacarita,75,6269,3685.0,3685.0,4780.0,4455.0,4025.0,3850.0,5940.0,5530.0,4955.0,4810.0,31.0,0.0,0.0,8.0,36.0,29.0,166.5,0.0,6.0,142.5,76.5,0.0
30984,Fabric Sushi Barracas,230,1,Constitucion - Barracas,1430,6274,3450.0,3450.0,4385.0,4135.0,3675.0,3470.0,5525.0,5095.0,4740.0,4520.0,0.0,0.0,0.0,0.0,0.0,348.0,0.0,0.0,3.5,192.0,0.0,0.0
